好的，請看這份音檔的繁體中文逐字稿：

[0:0] 歡迎收聽股癌，我是夢公。
[25:26] 那可能後面有機會，可能CPU會再帶動第二波。
[25:29] 不然我自己是比較難去想像說還有什麼樣的故事，因為你知道這個市場要繼續往上跑就要有領頭羊啦。
[25:33] 所以目前先觀察看看AMD有沒有機會成為這樣子一個領頭羊。
[25:38] 當然有可能Google搶先啦，假設Google開的數字突然間有一些，雖然我們很難去想像有超出預期的東西。
[25:44] 但你要知道它假設帶動市場的話，有可能就是它先跑，那只是如果說Google這個東西沒有辦法帶起來，因為像上對它預期其實不高。
[25:51] 那可能反而要期待就是AMD的這個Advancing AI，有沒有可能會端出什麼樣不一樣的東西。
[25:57] 那再來就是有一些可能對我們這些市場仔或者投資圈人士法人圈，大家已經是就覺得是常識的東西，但是有可能傳到市場上，它還是會造成非常強大的一些催化。
[26:8] 這個是有機會的，所以包含像是Anthropic，或者說它會不會再公布除了Anthropic之外的其他客戶。
[26:13] 像那時候Broadcom，它去公布客戶的時候，對我們來講，其實我們大概知道是誰，我們也知道說有這樣的訂單，但是那時候在市場上面還是有造成一些影響。
[26:22] 所以這些消息，它都是有機會成為某一種那種催化的一個催化劑啊。
[26:27] 那可能就後面再來觀察看看。
[26:30] 那總之呢，就是在接下來，我覺得盤面是一個很震盪的情形，但是我們知道說其實有蠻多公司的業績跟環境都是在很好的一個狀態。
[26:39] 然後再來就是可能像過去一集跟大家聊到Kimy K3，很多人把它解讀成為說可能這個美國的軟體定價會崩掉啊，這個模型定價會崩掉。
[26:48] 然後再來就是可能因為它是，大家把它稱為是比較有效率，雖然我們有去稍微打臉一下，因為它要用到的記憶體量其實是超級大的啦。
[26:56] 它是一個大型的東西，你不可以用什麼媽小型的作機去跑，它它跟那時候DFC造成的想像，還是有一定程度的差距，但大家把它聯想在一起。
[27:3] 那覺得說不會用到這些伺服器，可是最後面我們看到Kimy就是說在我們上集聊完之後，他們就是有公布啦，直接告訴大家，約治愛明就跟大家講說，抱歉哦，我們現在算例要留給老客戶，因為不夠用。
[27:14] 所以前面講說算例已經什麼夠用，要往下，就立刻就被打臉嘛。
[27:18] 我們在上集剛講完說很快會被打臉，沒有想到打臉這麼快，就一兩天就打臉。
[27:23] 但是要強調一下，就算現在所有的基本面都是On Track，那甚至是有點優異預期，我覺得跑的蠻不錯。
[27:29] 但是股價很難講，真的難講，就是你不知道會不會可能他還是要去整理或是休息一陣子之後才怎麼樣。
[27:35] 所以我們就去規劃多重的劇本啊，像剛剛前面聊到，我會規劃說一個假設區間盤的劇本是怎麼樣。
[27:40] 那假設是衝起來的劇本是怎麼樣，然後去找好可能相對應我想要去射略的標的，然後對照一下中小跟大型股到底是哪一個強，然後選擇就把它簽往那個方向開。
[27:51] 就是還是會有這樣的一些規劃。
[27:52] 那這個東西呢，其實它不完全是跟基本面有關係，因為簡單來講就像上集QA有一個聽眾問的，他說為什麼它的股票不會漲？
[27:59] 我就想跟他說，幹現在一堆東西我多覺得該漲，可是它不會漲，它怎麼可以修正，修了什麼神，你就覺得莫名其妙，其實那個成績都很好。
[28:5] 所以對，現在市場就是大家都覺得自己被冤枉，那到底最後面市場之神會選哪些東西拉起來？
[28:13] 我們沒有辦法下去做預判，我們只能夠就是看到之後呢，那趕快加入上車啦，這是自己的規劃。
[28:18] 但是我自己覺得我應該不會加的非常的大力。
[28:21] 在過去一陣子甚至我開始去把一些那種，還記得我在四月多在抱怨說券商不給我借錢嘛。
[28:26] 可是我過去，我想一想啦，我都要去放假了，我他媽還扛著一些那種借錢的部位，即便那種整體的槓桿比超低，基本上就是沒有。
[28:33] 還是會覺得那這樣子我就一直看盤啊，我不想一直看盤，所以就會打的相對的保守一點啦。
[28:39] 但是我們還是會持續的去關注一些題材，然後希望大家可以在裡面打獵順利，大概這樣。
[28:44] 那接下來我們進入QA的部分。
[28:45] 地位肚子好飽，嗨夢公，關於股價可以分為EPS乘以Forward PE，但發現各家機構寫出的報告PE倍數都是莫名其妙給一個倍數。
[28:54] 可以理解機構是為了工作出報告，主要重心會放在故事的撰寫跟EPS盡量估的準。
[29:1] 可是實際在打股票，Forward PE夢公你具體會怎麼使用呢？
[29:4] 給上下原的倍數，單純看自己相不相信那個故事嗎？
[29:7] 還是通常你會怎麼用？
[29:8] 愛你。
[29:9] 剛剛講的一些關鍵字，就是你到底Buy不Buy in這個故事是非常重要的。
[29:13] 那所以對我們來講看報告的一個關鍵是，首先我要先知道說大家的模型是怎麼樣估。
[29:19] 那再來是，我要知道目前大家的預期是到怎麼樣。
[29:22] 就說過往一個我們知道它交易區間是在Forward的可能15到30倍的東西，可是現在報告每個人都給40倍。
[29:30] 那你就要去注意你有沒有可能是最後一隻老鼠。
[29:33] 當然可能那個魚尾會超級大，跟那個黃帶魚一樣，這是有機會我沒看過好幾次。
[29:37] 但就是要比較小心一點，像這種我們就一定會搭配技術面的停損跟停利點。
[29:42] 因為如果說實際不對的話，那我們一定要跑第一個，沒有辦法跑到可能最最領先，也不要跑最後一個啦。
[29:48] 不要說什麼媽鎖跌停被關在裡面之類，所以我們會去參考一點點這樣的估值的指標，但它確實是不太重要。
[29:55] 因為其實你會注意到絕大多數當他們在瘋狂上修目標價的時候，就是一個股價已經在標了，然後大家在比誰可以喊的更高。
[30:3] 過去甚至有一些法人單位，它最著名的就是它們會喊出那種恨天高目標價，然後永遠都不會到，可是它就知道怎麼樣，它會獲得一些關注啦。
[30:11] 事上真的是這樣，就是一個報告要有話題，要有人看，要有人討論，要有一些客戶會喜歡或什麼的。
[30:17] 它需要一些你知道，就是一些可能比較聳動的東西。
[30:20] 所以我們不會太在意這個東西，但是會參考，會去看一下大概是怎麼樣估。
[30:25] 那你講到的才是關鍵，就是到底這個故事我相不相信，然後再來更棒的什麼？
[30:29] 更棒的是我知道了一些訊息，可是我看了這些報告，我發現你們沒有人有寫到。
[30:35] 這個就代表說你有Alpha，就這個東西有可能後面就會造成一些意外的上修。
[30:40] 等到大家發現之後可能少估了兩塊錢，那這兩塊錢再加上它的倍數，那個就是你純純的獲利啊。
[30:46] 所以其實我們會看說，第一個，這個故事我相不相信。
[30:50] 那再來就是，有沒有是你不知道，但是我不知道的東西，這個對我們來講可能是一現階段來說比較重要的東西。
[30:57] 那下面一位，來去菜席啊，炸碎割到會，雞歪雞窩，夢工大午安，在晚上七八點提供一個戰場，真的是太會吸流量了。
[31:6] 想跟昨天吃西瓜的兄弟說一聲不吃沙的，不如不要吃，括號都是兄弟開玩笑的。
[31:12] 那不論你吃沙還是吃水的，明天7月23號準時開玩《紅眼盧比》。
[31:17] 非常感謝這個來去菜市場假水果豆花兄弟，非常感謝你的支持。
[31:23] 那對，我自己本身在西瓜呢是站在沙沙派這裡。
[31:26] 那為什麼昨天會突然間在我的限動發一系列的問大家意見的東西？
[31:30] 是因為我自己本身喜歡吃沙沙的西瓜，所以像有一次我老婆買一個西瓜，我說媽怎麼這麼難吃？
[31:35] 他說這個是它已經是買到就是相對比較貴的西瓜了。
[31:39] 我說這個超難吃，我小時候吃的都是沙沙的，所以後來我自己我的妹妹聽到這件事情之後呢，她就在回來路上就幫我買那種沙沙的西瓜。
[31:47] 那可是它買沙沙西瓜的時候呢，老闆竟然跟她講一個，我覺得幹超怪的話。
[31:51] 老闆就說，你知道那個沙沙西瓜就是已經是熟透準備要壞掉的，所以一般可能沒有人要買這個吧，你你怎麼會想要買沙沙的西瓜？
[32:0] 那所以我妹也覺得很打，因為我們從小就是吃沙沙的西瓜，所以我才想問說到底沙沙西瓜好還是水水的西瓜好？
[32:7] 因為像我老婆她是喜歡水水的西瓜，那最後面我們甚至得出一個小結論啦，因為我媽媽從小是一個比較那種精打細算的，就是很厲害的那種大媽。
[32:15] 他去買菜會有辦法抓到哪個東西便宜，然後就大量掃貨之類的。
[32:19] 所以我妹就給我們一個比較大膽的猜測，就會不會沙沙西瓜是比較便宜的東西。
[32:25] 因為按照我媽的採購邏輯是這樣嘛，所以我們從小吃習慣了，所以那是我們童年的味道，我們才喜歡。
[32:31] 因為像可能在當天一起吃西瓜的一些人，他們表示他們都從小都是吃水水的西瓜。
[32:37] 所以那可能是一個跟它味道建立的差異啦，所以就想說來問看看大家的意見，然後後來我記得好像沙沙西瓜比較多一點吧。
[32:44] 那其他東西的話就比較沒有爭議，就覺得說薯條大家都喜歡吃脆脆的，沒有人喜歡吃軟的。
[32:49] 那種少部分反社會喜歡吃軟的，那水蜜桃大家喜歡吃軟的，那沒有人要吃硬的，除了少部分反社會的，還敢，還敢密我跟我說什麼水蜜桃你要吃硬的。
[32:59] 一個媽怪咖怪咖妹妹，反正總之就是絕大多數的東西大家都買有共識的，可是呢這個大家的共識是不一的。
[33:6] 所以我現在可能喜歡吃沙沙的，喜歡吃水的，那我喜歡吃沙的。
[33:9] 下面一位，蘭陽地區快樂寶貝一號，夢工安安，聽到您說陪小孩那一段超有感。
[33:13] 深刻感受小孩長大很多一起的時間，過去就沒了，像是四歲的兒子上禮拜跟我說，你說錯了，要說玩不能夠說玩玩，因為我已經長大了，你不要再用兩個字了。
[33:23] 那另外一聽夢公說快樂寶貝都覺得好笑，但聽老公說你是快樂寶貝媽，我卻一秒暴怒。
[33:30] 吵架的時候說老婆快樂寶貝是不是缺乏求生意志的表現？
[33:35] 那最後見夢公金口祝推我聽股癌的我們家老公可以順利把自己的開心的工作轉換成為可以賺錢的工作。
[33:43] 我們三個都很愛你，也祝夢公一家平平安安健健康康，適合在最適合的時間點喜獲女兒。
[33:51] 非常感謝，不是啊。
[33:52] 你的最後一段，我怎麼覺得有一點Passive Aggressive的感覺，就是你現在意思是臭你老公說他喜歡做的工作不太會賺錢，所以希望這個工作趕快去賺錢。
[34:2] 還是說老公正在經營某一些他非常有理念的東西，然後他也不知道這個東西可不可以賺錢，那我們希望可以賺錢。
[34:8] 我希望是後者，而不是前者，就是你媽要偷臭他，他叫你快樂寶貝你偷臭他。
[34:12] 對，我們希望老公可以順利。
[34:15] 然後再講說這個孩子感觸的，對，後面有蠻多地方家長浮出來，然後大家都有類似的感受。
[34:20] 其實嗯，很多時候當我知道說我的一些想法，因為平常我我沒有太多人可以交流啦。
[34:25] 我在節目上跟大家交流，然後大家有預案的一些意見，那個感覺真的是非常的好，所以希望都可以好好的把握時間。
[34:33] 那下面一位，紅班長，夢公你好。
[34:35] 家父近期第四次遇到網路交友詐騙。
[34:37] 對不起。
[34:39] 不該笑。
[34:40] 無論家人怎麼勸貼再多的真實案例給他看，他依然執意匯款，那深信對方會來見面。
[34:46] 我們其實已經無奈到想放棄，但最怕的是我問他，如果錢全部被騙光怎麼辦？
[34:51] 他竟然說自我了斷。
[34:53] 那面對這種講不聽，錢快被騙光，還用生命威脅的舉，家人真的很無助，想問這題該怎麼解。
[34:58] 不知道，這題我覺得一定是去找專業人士幫忙啦。
[35:2] 這個可能就是要去找不知道地方的里長，一起下來聊天，找個什麼警察，雖然警察已經很忙了啦。
[35:8] 但我覺得拜託一下，然後再來就是可能找一些那種心理輔導單位都來問一下啦。
[35:13] 這個已經是那種偏差跑掉了，但是不知道為什麼我某個程度上我可以大概理解他。
[35:17] 就如果說我今天去走到某個階段是我我隨便亂舉例啦，這個我太太也掛掉了或什麼的。
[35:24] 我也沒事做，我也不知道要幹嘛，我還真的可能就想說好吧，這個詐騙的來，搞不好真的有一個是真愛，好玩啊。
[35:29] 我跟你講話的過程之中多巴胺分泌啊，我覺得很爽啊，然後給你騙點錢我覺得也沒差。
[35:34] 那錢費騙光也問我怎麼辦，就乾脆去跳一跳啊，反正我也不知道要幹嘛。
[35:37] 是有機會會講出這樣子的話，可是一般會講出這樣子的話，當時的心理狀態應該已經是一個就是準備要Tip Over了吧。
[35:44] 它有可能第一個，它本來的狀態就已經不太好，所以它有一種那種死了就算了的心情。
[35:49] 這個我可以理解，因為以前我也會，有時候會有這樣的心情。
[35:52] 那第二個是，他可能已經是被騙太多次，騙到自己都覺得沒面子了，所以他就怎樣？
[35:56] 他頭鐵，我不信，我就要試給你看我試出來。
[35:59] 這個我們在一些長輩，或者說一些那我們客家講，很硬頸的人，那種反正就是說，明知山有虎，偏往虎山行。
[36:5] 直到可能被咬掉一條腿，他都還在想說，靠北，這老虎可能只是要跟我玩，就是有些人他真的是這樣子。
[36:12] 那像這樣子的人的話，我覺得是要去找專業的治療啦。
[36:15] 因為這個像我自己我覺得我蠻會幫人家出點子，或者我開過很多事情的人，我都知道告訴你說，這個應該是無解。
[36:20] 這個應該是沒有辦法解，所以我們也是丟給專業人士吧，我不知道專業人士有沒有辦法解。
[36:25] 那如果說沒有辦法解的話，那至少你曾經嘗試過啦。
[36:28] 因為這個已經有點那種自殺的一個心態了，就是他是死掉的，他就是覺得說反正人生是遊戲一場。
[36:34] 這種真的很難解。
[36:35] 剛硬硬硬硬，下面一位，Jack Chen，夢工是我啦，為夢想而自死的男人，明天7月23號是我美麗的空姐老婆的生日，想請你幫我告訴她生日快樂，親愛的老婆不要再年齡焦慮了，你永遠是我心中最美麗高貴的存在。
[36:51] 尤其是每當我獲利回吐到卵蛋快捏破的時候，我都會想起輸了錢又如何？
[36:56] 最珍貴的資產永遠是我老婆，快吐了，永遠愛你。
[37:1] 如果說非要在這份愛上加一段話，我希望是，不要再宵夜都老公組，不要玩快都老公在洗，不要再老公每天快樂兩小時LOL的時光中瘋狂中斷我。
[37:12] 一下叫我撿狗大便，一下叫我做家事，一下裸體在那邊晃來晃去干擾我。
[37:17] 那最後不要整天不爽就在打老公，你不是才答應我不會打我了嗎？
[37:20] 不准拿打我當舒壓，雖然靠北一堆，但它依舊是我最愛的好老婆，生日快樂。
[37:25] By the way，到底誰西瓜再吃沙的？
[37:27] 那牛排怎麼不吃彩的？
[37:29] 你看嘛，我後來發現說這可能是小時候口味建立的一個問題。
[37:33] 因為像我太太他們就是吃雞胸肉，應該說很多歐洲地方的人，你都知道他們是吃雞胸肉，他們不喜歡吃雞腿。
[37:38] 可是我喜歡吃雞腿，那可是像我爸他喜歡吃雞胸肉，那他的理由是什麼？
[37:41] 他的理由是以前我阿公阿婆就給他吃雞胸肉，所以他從小就覺得雞胸肉才是雞該有的一個口感。
[37:47] 類似這樣子。
[37:48] 那所以我們不知道這個沙跟水大家講，但它很有爭議啦，我覺得其實有爭議是好的嘛，代表你種出來的兩種西瓜，或甚至是因為保存而產生的問題。
[37:57] 像沙沙的西瓜，你知道怎麼樣嗎？
[37:59] 沙沙西瓜如果說它不小心泡在西瓜水裡面泡久的話，它其實會變水水的，這時候怎麼樣？
[38:3] 這時候就拿去給那些喜歡水水的吃。
[38:6] 那前面非常恭喜你們一個很好的關係，前面講說我這邊那邊媽好噁哦，在那邊給我曬恩愛。
[38:11] 但後面馬上就是各種吐。
[38:13] 其中一個我真的要在這邊呼籲一下各位地方老婆啦，就是打Lo的時候不要去中斷老公啦，拜託。
[38:18] 這個打Lo的時間就很珍貴了，就不多了，然後再來是怎麼樣，你感覺你是消耗一個人的時間，是呢，你是消耗九個人的時間，因為你老公在那邊雷，在那邊AFK。
[38:30] 剩下的九個人，對面也沒意思，你媽四個隊友打了也打不贏，所以就會變成對，就是讓大家變成是浪費時間啦。
[38:37] 所以千萬不要在老公打電動的時候去中斷人家，我覺得這個是這個希望各位地方太太都可以做到。
[38:42] 你們每次都會講說什麼我巧虎，然後去幫忙你們管老公，但這個我跟你們講，你真的不要做這種沒有品德的事情啦。
[38:48] 老公在打電動的時候不要反他，有什麼事情打完電動來講，一場時間沒有多久。
[38:52] 下面一位，新羅天真，祝隊2327這種簡資慣犯的看法怎麼樣？
[38:56] 在選股的時候如何應對簡資帶來的風險影響，感謝愛你。
[39:1] 嚴格上來說是這樣子，2327呢，它現在還原回去還是一個2000多塊，快3000多塊的股票。
[39:10] 在最高點的時候，甚至是4000多塊的一個股票。
[39:13] 所以其實當年套在1000多塊的人，全部都解套跟賺錢了。
[39:17] 就是我覺得當然市場上有些人會不喜歡說有些公司，幹你不是簡資退大家錢，就是說你不需要這麼多錢，然後後來又再增資什麼，你就是想把人家稀釋掉，把人家洗掉。
[39:27] 這個其實很多公司都在做類似的事情，只是我們在這邊不要點名，因為我們節目的受眾太多了，我也不想去惹到任何人。
[39:33] 反正大家去查歷史，你問AI一定都可以告訴你，那簡資在增資，把人家洗掉的，或者說什麼先下市再上市的。
[39:39] 很多啦，那該怎麼樣去評論？
[39:41] 我老實說，年輕的時候我都覺得這些人在割韭菜，可是長大一點就會懂。
[39:46] 像某記憶體廠，他們為什麼那時候會這樣做？
[39:48] 或者是某金源代工廠，為什麼那時候會這樣做？
[39:51] 其實都有理由，因為當下可能不這樣做，它也沒有太多的選項了。
[39:55] 所以它就是會傷害到一些既有的股東，然後等它真的變好之後，也不是當時賠他的那些股東可以賺到。
[40:3] 所以在資本市場呢，我覺得啦，至少它比起我們去做一些初級市場的投資，它的好處是在於說，你發現這個公司有問題，就說你覺得它是無良的公司，你都不要買它嘛。
[40:14] 就是市場的選擇這麼多，那你幹嘛要去買了它之後，然後又再去幹屌它。
[40:18] 或甚至你可以更壞一點嘛，你知道它每次都用同一個Pattern去割韭菜，那我就問你，你為什麼不要在你知道它要割韭菜的時候，你在那邊把它空爆之類的。
[40:26] 所以我覺得吃雞市場有趣的地方是，其實你不爽，你都可以不要做，或者說你可以跟它對做什麼的。
[40:31] 所以我們就不用去問太多為什麼，因為每家公司可能都有它一貫的做法。
[40:37] 像我有的時候對一些公司也有意見啊，你為什麼要配那麼多股息？
[40:39] 我他媽超討厭股息的，因為那個對我來講每個都要繳稅啊，可是呢，台灣的一些中小股民，他們超愛股息的，因為他們某個程度上就覺得說這個至少是配到我口袋裡面。
[40:48] 然後他們沒有去摸到可能28%分離課稅這種，所以他沒差，他媽你配股息給我，我就覺得高股息贊，所以你看意見不一樣嘛。
[40:56] 我喜歡啊他不喜歡，啊對於某些人來講，其實我我甚至這樣說啦，一些在發CB，一些在搞現增的公司，這個你如果去論壇問，大家也說割韭菜。
[41:5] 這個就是媽的拉高，然後什麼，就要去搞現增什麼的，可是對某些人來講，我們喜歡去買這樣的標的哦。
[41:10] 因為我知道公司要好股票，我知道公司要要搞啦，對，我知道你要這樣做啦，所以我們看的懂的我們就上車了。
[41:17] 所以你都可以去做自己的選擇啦，就不會覺得說這個是風險或什麼的，因為因為其實簡單來講就是，你只要懂看的，你就會知道。
[41:26] 那你說那些不知道的莫名其妙被割到的，那就只能夠說，比較遺憾一點啦。
[41:31] 當然會希望說有關單位看可不可以多一點警示的東西，但這就跟那個詐騙一樣啊，就是你如果真的做太多限制的話，你反而是讓正常人的生活是沒有辦法做的。
[41:38] 只能夠說你本來要去做股票，你你就應該都要去了解這些東西。
[41:43] 你不了解的東西你怎麼會敢買？
[41:46] 對吧？
[41:46] 下面一位，大剛，夢公安安，想請問如果說爸媽家裡衣服很多，大概1000件那種，想要幫他們處理，但他們又會說每件衣服都有感情的，該怎麼辦？
[41:55] 目前踩按兵不動的策略，是不是要等到屬於他們的直男喬虎出現，靠著命運的第三方力量，才可以讓他們開始斷捨離？
[42:3] 但老媽的直男喬虎是GDL，來自因為夢公而執行做尿派許久的林口地方聽眾。
[42:10] 其實蠻多人的爸媽都有囤物癖，像我自己的爸媽在認識我老婆之前，也算是在某個程度上是囤物癖。
[42:17] 我爸爸是有潔癖的啦，就是我爸爸他會把東西都打掃得很乾淨，可是它有很多東西它就覺得說以後可能會用到，捨不得丟，或者說怎麼樣的。
[42:25] 所以它厲害再，它至少知道麥克都放在哪，那結果你知道，我老婆才剛到我們家，可能投幾次見面吧，他就受不了，他就開始在我家丟東西。
[42:32] 然後一開始，以前是這樣，就是假設我們跟爸爸說要拿把一些東西丟掉，或者你自己亂丟一些東西，他會把你媽臭幹，他真的會臭幹你一頓。
[42:41] 可是我老婆丟，他可能也不好意思吧，他就沒有臭幹我老婆，他就是一臉那種很尷尬的尬笑。
[42:47] 然後有時候會怎麼樣，他會再晚上的時候偷偷的去外面，然後把那樣東西撿回來，我老婆就再把它丟掉。
[42:51] 所以我老婆也是那種，他是Gangster你知道嗎，他沒有在瞎小的，他就是丟。
[42:54] 然後去那冰箱把它，冰箱的東西全部拿出來丟，那丟一丟丟到後來，還還真的就是家庭的節奏就改變了。
[43:1] 所以不知道，你去娶個洋媳婦吧，還是怎麼樣的，因為就是要那種去顛覆他們傳統，他們又罵不下去。
[43:7] 因為如果一樣是台灣人，他可能就會覺得說他可以罵你。
[43:10] 就是因為當時我家人這樣被改變了，反正就丟一丟之後，後來他們就就懂了。
[43:14] 那後來是這樣，後來像我幫家裡天購了一個新的冰箱啦，那那時候就是跟我太太聊到說以前我們家裡的冰箱有那種過期16年的番茄醬，超屌。
[43:22] 然後再來就是，你知道以前我們是怎麼樣用冷凍庫嘛，就覺得說所有東西丟到冷凍庫就是無敵了，它就是不會壞掉。
[43:28] 所以冷凍庫一堆那種塑膠袋包著很多東西，那天就是剛好講到這件事情，跟一個地方朋友。
[43:33] 那我就說，我們家冰箱是這樣子，然後我老婆說沒有，你知道你爸爸媽媽，你幫她換新的冰箱之後，他們就很小心的在收納，他們冰箱超乾淨的，我看到都嚇到。
[43:42] 所以這也是一個可能性，我把兩個契機給你，一個是我老婆在那邊丟東西，然後丟到我爸爸被迫習慣。
[43:47] 然後另外一個是，幫他們換一些新的設備，或者你假設幫他們改一些裝潢，說不定他會想要維持這個新的設備的乾淨跟整潔，他們就會去做這樣子處理。
[43:57] 這兩個這個小錦囊，希望對你有幫助。
[44:0] 下面一位，Jack Chang。
[44:2] 是不是念過？
[44:3] 念一下MK午安，最近的盤是動盪，所以前心研究中，雖然過程不簡單，有問題也沒有辦法一次就修正好。
[44:10] 例如邏輯不順暢，表達不完整，沒有問出好的問題，輸出太過口語化之類的。
[44:16] 但是可以確定自己每次都會被打磨變累積一點，這也很令人開心，像是練等一樣。
[44:20] 那因為沒有什麼想問的，就麻煩MK無情工商《紅眼盧比》一波，讓像小弟這樣子沒有玩過太多遊戲的小白也知道怎麼體驗吧。
[44:27] 那祝您全家平安健康，天天開心，愛你。
[44:31] 不知道為什麼我覺得超感動的，就是一個我認為是很重要的事情，然後蠻多聽眾也把它當Priority，他們留言會提到。
[44:38] 我希望大家身體健康，希望你們的股票都發大財，非常感謝這麼多暖男。
[44:43] 對，希望大家都要去玩這個《紅眼盧比》，那不知道怎麼玩的呢？
[44:45] 你去下載一個平台叫做Steam，Steam，對，因為確實有些人他可能是完全不打遊戲的。
[44:51] 反正呢，網路有一個App叫Steam，你下載下來之後呢，那個我們把它稱謂是男生的百貨公司。
[44:56] 雖然有些你可能也是男生，但你沒有打電動，你不是宅男，不知道。
[45:0] 但你只要下載這個男生的百貨公司之後呢，你就會變得跟我們身邊的一些女伴一樣，就是你會定期的想要上去逛某些東西。
[45:7] 那你會買一些東西回家，那接著你可能一輩子都不會打開它，但是你會很驕傲的告訴大家你收藏了什麼東西。
[45:12] 像是可能不知道你太太那種架上的香奈兒包，你就說你看我有全系列的可能巫師的遊戲還是什麼的。
[45:18] 那其中我兩三款我沒有玩過，就爽，就放在那邊，以後的孩子可以玩。
[45:22] 也不一定啦，因為現在蠻多人會買一堆H Game，那可能又不敢跟孩子分享，他可能他死前的最後一個願望是，除了這個低潮清掉之外，我的Steam帳號要幫我銷毀掉，因為裡面有太多有的沒有的遊戲。
[45:33] 這有可能這樣，它承載了很多人的回憶，那它也是很多人找到快樂的泉源啊。
[45:37] 反正你抓到這個Steam之後呢，你就可以，它就會像是一個這個百貨公司一樣，然後很多遊戲。
[45:41] 然後在夏天，在冬天都會有一些特價，就就很棒，就讓大家很有那種參與感。
[45:47] 那你可以在上面就去找到《紅眼盧比》，然後跟《暗華夜戰》，暗就是晚上的暗，花，花，Flower，夜，夜晚，那戰，戰放。
[45:56] 這個也是我們的遊戲，我們參與投資的遊戲啦，就是直接把它稱作是我們的遊戲。
[46:0] 那這個，它有Demo可以玩，那《紅眼盧比》目前也是有Demo，但明天正式上市，你就可以拿出你的魔法小卡刷下去。
[46:7] 就算你可能不會玩遊戲，你也可以讓你的兒子玩，或者讓你的朋友玩。
[46:11] 那希望大家都可以支持優質的台灣遊戲開發團隊。
[46:15] 下面一位，Restlin Chan，夢工安安，發現打的時候會自動選自選成China。
[46:21] China，7月10號是我女朋友的生日，麻煩幫我跟括號是藍的女朋友說那四個字，生日快樂。
[46:28] 你看終於老實了吧。
[46:30] 那想請問你在《星露谷物語》的女角排名括號SVE也可以，我每次都在Haley跟Abigail之間猶豫。
[46:37] 祝夢工全家開心，諾雅安哥平平安安長大。
[46:40] 這個人的那個姓癖跟我一樣，這樣講姓癖好像不太對，偏好啦。
[46:44] 我也是覺得這個Haley，然後跟Abigail蠻不錯的。
[46:48] 那我沒有記錯的話，你可以去像是那個什麼Nexus Mode，然後可以找到《星露谷》的Mode，你可以把他們改的更性感地模樣，這個給你參考看看。
[46:58] 下面一位還在想ID，夢工安安，第一次留言，從以前就會有賠錢股票不想認賠的壞習慣，前陣子稍微的改掉，但最近這種盤又覺得好像凹一下會回來，該怎麼改掉這個壞習慣呢？
[47:9] 那另外想跟高雄金魚兵說，雖然股市路上起起伏伏，看到別人跟單賺爛會懷疑自己是不是研究方向錯誤，但是希望可以靠自己賺大錢，一起加油，也祝夢工全家身體健健康康，開開心心，愛你，我愛你。
[47:22] 這題我覺得不好回答。
[47:24] 就理論上像我們都知道說這個股票要有一定程度的紀律嘛，就如果說你設定的條件達成，那你就要出場。
[47:32] 那它可能是某一條均線，那或者是說某一次的財報的結果或什麼的。
[47:37] 那如果說達成，理論上對，你就要比較硬性的出場，但是我必須得說在過去的幾年，我也變得我不喜歡太硬性的停損。
[47:47] 那我覺得我這樣子的改變是我對我自己的研究實力，或者說掌握度有更深的體會。
[47:53] 我發現說其實我東西幾乎都會看對，所以除非是我知道有更好的機會成本的地方，就是我換去那邊，那個東西一看就是馬上要噴的，我才會跑過去。
[48:1] 那不然有時候就算他可能已經達到過往，我也要出場的地方，就說他摸到月線了，那我就沒有出去，因為以前我可能這個月線我就要出去了。
[48:8] 可是現在我就會覺得說好，懶得動了，反正就給它洗一洗，搞不好後面就再上去，因為你已經有一些經驗可以去支持你這樣做。
[48:15] 所以我會覺得當然你今天沒有經驗的時候，你確實是要有一些比較硬性的風呆機制啊。
[48:20] 就類似說以前那個3.5磁片，不是反過來就推不進去嘛，或者光碟片如果你放反了，就沒有辦法讀取嘛。
[48:25] 你要有一些這樣的機制去以防你上頭了，你知道你被鬼牽走，或者說你暈車之類的，然後你可能會會死在裡面。
[48:33] 你要設計這樣的一個機制，但是你後來開始稍微懂之後呢，我覺得我們都是用一個不會傷心去做風控而已啦。
[48:38] 就比較不會像過去去設一些那種很硬性的停力的點。
[48:41] 那像這次呢，老實講那種中小再大回檔的時候，其實我也是因為說成本拉太遠。
[48:46] 所以我前面也膨脹啊，因為以前就是，你知道這種東西都已經噴出去了，就已經處置這麼多天了。
[48:51] 以前怎麼樣，十日線我可能就丟，再不計月線丟，就這一波有蠻多是我快到季線我才丟。
[48:56] 為什麼？因為你就覺得說反正我賺這麼多，但後來真的回到季線，你也會覺得蠻痛的啊。
[49:1] 等於你少賺超大一段，但就這樣吧。
[49:3] 我覺得那個東西都有彈性啦。
[49:4] 就像說如果今天這個東西它並沒有噴這麼兇的話，我一定是守得很嚴啦。
[49:8] 就是因為你講說噴多了，那過往其實台股的慣性在過去的半年一年就是拉回隨便買都會贏。
[49:14] 還想說這次可能也一樣，但這次就真的不一樣，又回標升一點。
[49:17] 所以該怎麼做還是有去做處理啦，只是就是比過往慢，所以我覺得那會有一點程度的彈性存在。
[49:23] 但如果你是新手的話，盡量不要有太多的彈性。
