[00:00] 歡迎收聽古愛,我是陳夢公,本集節目由喬志永國際有限公司贊助。
[26:44] 有些幸運的人,像我自己身邊的一個朋友,他開始投資股票的時候,就是去年川普關稅戰的時候,那真的超爽,他沒有嚐過敗果,非常的幸運。
[26:53] 可是我們是沒有辦法選擇自己的出生點啦。
[26:56] 如果說你是在五六月進來的,你遭受很大的打擊,其實這個時候不應該感覺到說什麼萬年聚會或是市場是一個他媽爛地方,就是它有時候就是會這樣發生,就是有時候就這樣發生。
[27:06] 那它也算是一個壓力測試啦,去考驗一下你到底扛回檔的能力是怎麼樣?
[27:10] 因為很多人是很會賺錢,可是他沒有辦法去守成。
[27:13] 像最近就有注意到,當然我現在身邊少年股神是偏少,可是有些朋友會認識一些少年股神,那種投資圈的。
[27:19] 然後就有聊到,其實蠻多那種打到什麼七倍到十倍之間的,那個drdown都是在50%到60%以上。
[27:26] 其實嚴格上來說,你可以噴這麼多,你回這樣,好像也不是一個大不了的事,那怎麼講,對我來說是一個路線的選擇啦。
[27:32] 就是我自己現在是沒有辦法去接受說我回這麼多,因為我上去的時候相對賣一點,保守一點,我的配置多元一點,跑得比人家慢,可是下來呢,可能也沒有像人家這麼痛。
[27:43] 所以你要去理出自己的一個方向,你選擇的方向是什麼?
[27:46] 當然你現在你要不要去介入一些高beta,或許其實很多機會在高beta,因為你要想,它從高點回來,那種三四十%的也是滿地都是啊。
[27:53] 那其實本身他們都是有不錯的基本面在背後,所以我相信說如果這些東西真的要反彈,也可能彈很大。
[27:58] 但反正總之就不會是我要選的東西啊,因為我也覺得後面的那個估值層數應該會被壓制,直到什麼?直到一些奇蹟發生,要嘛就是罵直接要超光速V上去,不然它其實要休息一陣子之後才會上去。
[28:11] 那我是不太相信說超光速V上去這樣的一個劇本。
[28:14] 還有一個潛在的理由是,因為其實我們目前注意到說,標普它根本就在右上方,所以穿頭股它是沒有道理去喊盤的。
[28:21] 因為你說在想說,如果要有事件吹化的話,要有一些夠大,夠好的消息。
[28:27] 但可是問題是,像台積電這麼好的一個數字,我認為它可能是個強催化,可是它既然吹不上去。
[28:32] 那外加穿頭股,它現在沒有動機嘛,因為其實美股的大盤是在右上方,只是有一些特定的板塊,過去噴最多的現在跌最兇。
[28:40] 所以這是可能比較有機會會等不到一些catalyst出來。
[28:44] 所以現在稍微的去看保守一點,但我自己關聯跟大家分享是,我還是會去持有大量的股票啦,簡單講就是這樣子,就是最多就是沒有槓桿,然後可能跟少量現金,但是絕對不會去整天要要呼籲大家空手或什麼的。
[28:57] 我曾經也因為這樣子,然後會被人家酸說什麼,你看,他都沒有空手。
[29:01] 但老實講,像我的一些標的,那個是沒有辦法賣掉的,但我這個也沒有辦法跟一些小資聽眾講,因為你沒有遇過你不知道,你不知道什麼叫做流動性被抽乾,你也不知道說,就是有些東西你進去裡面,你規模大到一個程度,你也懶得動了。
[29:13] 你光領股息,你可能就可以生活了,所以你根本也不會想要再去額外動它。
[29:16] 所以我自己的觀念會是這樣,那跟我的配比或是資金的量體也有關係,所以大家就參考就好。
[29:23] 那如果你今天那種迷你小資的話,像身邊有些朋友他們就是直接就不玩了,就收掉,這當然也是一個做法。
[29:28] 那只是我我自己幫不到,所以我會去找一些折衷的方法,把它這個配過去,那大概是這樣。
[29:33] 那希望大家在後面都順利,那接下來我們就的部分。
[29:36] 第一位,ckk,愛大安,今天開車無聊回聽EP1718,秋狗幹你娘跟看房心得。
[29:43] 那時候周偉口音好清澀,回答腦BQ好有耐心。
[29:47] 網友留言都在吹吹愛大,還有TSMC,幹你娘400元便宜的年代一去不復返。
[29:52] 那上次愛大表示semi analysis在尷尬的時間點發報報告可能會被找麻煩。
[29:57] 那想問孟公有曾經因為錄製Podcast,因此被找麻煩的經驗嗎?
[30:01] 吹吹愛大家平安愛你。
[30:03] 其實我自己算是敏感度非常高的人,所以就坦白跟大家講了,媽的,今天QA當一些標的一直出現的時候,我就知道那一定是有人故意要用我這裡的一些聲量要幹嘛嘛。
[30:17] 那我也很聰明,我也知道你們要幹嘛,我就直接說我不評論,還好就沒有評論嘛。
[30:20] 如果我評論的話,你看後面發生什麼事情,他到時候說什麼,他回答說不錯,他出貨。
[30:26] 就是會有這種很狗屌的事發生,那我我自己本身目前是沒有被找過麻煩,但是呢在網路上被嘴一下,那一定會有的啦。
[30:34] 像那時候2022就整個被嘴到爆炸啊,那像最近這樣回檔也開始有人要出來嘴啦。
[30:38] 但還好,我發現說現在他的一些股民是蠻理性的,因為在一些那種超多韭菜的地方,那有人要跑出來嘴我,還有人講說,他早就已經講了,你自己要追三頂,跟屁。
[30:48] 沒有,我是不會去主張說什麼我早就講,我怎麼早就買,我不做這樣的事情。
[30:52] 反正產業就是這樣一路分享過去嘛,然後大家就會發現說,風風相連到天邊。
[30:58] 我們沒有辦法去抓到一些股價的高跟低,可是產業好好抓好,經過這麼多年的一個驗證,大家知道說這絕對是有辦法可以賺錢的啦。
[31:06] 那你每次要追FOMO,老師講,我沒有辦法控制,但我覺得非常有效的一點是,你絕對不要去,特別像我們這種是一個免費的平台,就不要去做一些收割的事情啦。
[31:17] 然後再來就是不要想把自己的聽眾去轉化成為一些獲利哦。
[31:21] 像有些人會去選擇開課或什麼的,這個你就是有機會會被人家針對,或是會弄弄到很大這樣子。
[31:28] 那因為像semi analysis他們本身是有在收費啦,所以就會變成,我覺得收費的東西要很小心。
[31:33] 就是你盡量都要去聚焦在去聊多的東西就好,因為你聊空的,就是有有機會會被人家修理啊。
[31:39] 因為我們已經看過有一些案例了,當然不方便說出來是哪些案例,但就是會看到啦。
[31:44] 那所以講就說市場這種東西呢,就是賺的時候大家是不會跟你說謝謝的,大家都會覺得自己厲害。
[31:49] 我自己聽誰,我自己聽誰,我自己判斷我做的。
[31:52] 那可是跌的時候呢,啊,誰害的,啊,哪一個反指標,啊,那個什麼,誰講什麼,就一定都會變這樣。
[31:58] 那所以為什麼你看,我自己經過2022年之後,我覺得我變得更聰明,然後更加的成熟。
[32:04] 我自己也知道說有些東西,像以前我就是會一直跟你追,一直跟你追,追到底。
[32:09] 追蹤啊,繼續聊什麼的,後來發現說,幹,媽的,每次下來,我覺得會變成是大家要講說,你看,是他喊多什麼的。
[32:15] 那因為你知道這些他媽低能兒,快樂寶貝太多了,所以後來我自己知道說有些東西,今天一旦是真的噴出去,我就要一直去下警語,就是說,我現在已經就不去評論它的股價,我已經不知道發生什麼事了。
[32:25] 因為你還是要去稍微講下這件事情,即便你可能從頭到尾都是focus在產業,但大家還是會把一些東西可能來在你身上。
[32:31] 你想我們很中性的在講產業都會這樣子,那何況是你想去踩人家標的,你覺得會發生什麼事情?
[32:37] 這個就是市場生存的一些法則啦,大概這樣。
[32:40] 下面一位,真浩品,孟公大,午安,想回頭問一下清酒的問題。
[32:43] 請問未開封保存上還是建議冷藏嗎?有飲用期限嗎?因為重說紛雲,還是問您最準,祝孟公全家平安,積效長虹,PS好羨慕大衛醫師離開急診。
[32:55] 大衛醫師是好像大概十幾年前左右,有一個這個急診醫師嘛,說終於脫離了。
[33:01] 你是他同事是不是?那再來,清酒是不是建議要冷藏?其實清酒的話看啦,如果今天是什麼生酒啊,大飲量啊,什麼這個一定都是要冰的啦。
[33:11] 這個你不冰的話,味道就很快就跑掉了。
[33:14] 但如果是那種一般的在超商買,或者說賣場的那種清酒放在架上的,你看那個全年的紅酒也是放在外面啦,那個其實都是不用冰的啦。
[33:22] 這邊給大家科普一個小知識啦,我以紅酒做舉例好了,其實90%的紅酒都是不能夠陳年的。
[33:30] 可以陳年的東西是有特殊去製造,比較好的葡萄,比較好的場域或什麼的,它才是可以陳年的。
[33:37] 其實絕大多數你在那些大賣場買到的東西,你不要覺得說什麼買回來,然後什麼要要什麼陳年,那個不能陳年,都趕快喝掉。
[33:43] 所以因為要趕快喝掉,所以你根本也不用在意說,它是保存在什麼樣的環境,只要不要說什麼放在太陽下面曬,你放在陰涼的環境就說OK。
[33:52] 可是如果你今天要放的,好像一些比較高級的紅酒或者清酒的話,他們可能就會有一些比較需要去注意的事項啦。
[34:01] 說去冰冰槍甚至也不會跟你講說你越冰越好,會告訴你說可能要冰在10到可能15度之間是它最適合的一個溫度,這樣它才可以慢慢的熟成,味道會更好。
[34:11] 但理論上這個是絕大多數人不用煩惱到的東西,也就是說你真的需要煩惱到的時候,你自己自然會知道這東西。
[34:17] 可是如果說你今天是隨便去賣場,就是隨便架上去抓紅酒跟清酒,那個都還好,那個你只要放在家裡陰涼的地方就好,然後再保存期間把它解決,就不會有什麼太大的問題。
[34:27] 所以大概是這樣子。
[34:28] 下面一位,Eric王,猛公你好,請問漫威裡面哪隻英雄最可愛?鷹眼,因為Hawkeye。
[34:35] 那什麼顏色的排球最不好笑的?金色,因為金排球。
[34:39] 括號台語,那誰的肚子最硬?印度人。
[34:42] 那這樣子可以給到十分吧?你太嚴格了。
[34:45] 印度人那個0分。
[34:46] 那再來金排球這個0.5分,因為這個,這感覺是那種挖公時代就有的笑話。
[34:53] Hawkeye這個還不錯,因為這個是可能是我第一次聽到,就是斜音梗,很鳥,但是很喜歡,給0.6分。
[35:01] 下面一位,地球戰艦,孟公我老公,昨天被殺到噴出來,獲利直接回到4月初,決定不玩的把錢打進去聖盔谷,獲利拿出來訂機票去韓國打一美。
[35:11] 請問這樣的我是不是逃避人生?
[35:12] 沒有,我已經進去聖盔谷好一陣子了,而且我持續把那個聖盔谷加大。
[35:17] 那大家如果說聖盔谷爆掉怎麼辦?聖盔谷爆掉,其他人一定爆了,沒有關係啦,所以就是把錢放進去聖盔谷裡面也是我的選項。
[35:25] 我會放聖盔谷,然後跟台子期啊,這個是我後面的一些規劃。
[35:28] 那它的獲利回到4月初,我獲利目前是回到大概5月底,6月初左右,我也是不希望它再繼續往下掉,我覺得今年一定要好好把它收起來。
[35:36] 對,就賠掉不把花掉,沒有什麼太大的問題。
[35:39] 下面一位,烏薩其蒙子,捏著軟蛋唱。
[35:44] 想飛到那最高最遠最灑脫,想擁抱在最美麗的那一刻。
[35:52] 孟公恰,好,第一次留言,我從小就是一直幻想傳送門這種黑科技可以從遊戲走入到真實世界,一定會很方便。
[35:58] 不曉得孟公覺得百年內有沒有機會看到?
[36:02] 那希望到時候有機會在節目裡聽到您分享傳送門相關的概念產業愛你。
[36:07] 傳送門的話,100年內,我個人是覺得說是看不到啦。
[36:11] 你可能可以期待在120或30年內看到用火箭去做通勤,這個可能是有機會的哦。
[36:17] 因為當今天垂直發射接受越來越成熟,你知道火箭打上去,然後接著沿著軌道動一動再下來,大家都算過那個時間可以比一般打飛機省下非常非常多。
[36:29] 所以這個可能在有生之年有機會看到,但是看到不代表有機會做到,就搞不好是一個超級貴的東西,或者是說就面發現說它沒有辦法大範圍的商業化,那也沒有辦法變成是就類似說那時候大家知道協和號很快嘛,可是就是not working,就是沒有辦法持續下去,但是至少是有機會看到。
[36:46] 那我覺得傳送門的話,書難想像它會發生,但我們還是希望它會發生。
[36:51] 下面一位,麻札札。
[36:54] 林貝阿布阿哇。
[36:55] 身為從豬位買十顆BTC就開始聽,捏到軟趴要破掉的老聽眾,很開心每次沉默循環都有豬位陪著。
[37:03] 除了投資外,讓我收穫最多就是豬位的預而經驗,其中我覺得印象最深的是,你以為你在陪孩子,其實孩子在陪你,聽到當下真的莫名的感動。
[37:11] 那帶小孩一起打網球真的很好玩,尤其小孩能夠稍微對打之後,跟小孩一起在球場打球真的是很棒的體驗。
[37:18] 那對了,有機會真的推薦豬會要來一個女兒啦,感恩愛你。
[37:21] 非常感謝這位兄弟。
[37:23] 那,嗯,我之前還是覺得說,其實是孩子在陪我,那天又又再次看到人家去轉發一個,我可能已經是在五年前或是七八年前就看過的一個網路圖,就是它沒有下任何的字幕或是對話,反正就是各式各樣的圖片。
[37:39] 那爸爸陪他的孩子在大便,然後爸爸帶孩子去玩什麼打彈珠,幫他拍照什麼的,其實那一幕一幕都是點滴在心頭啦,就知道說我也跟我孩子去做這些東西,那有時候現在回頭去看一些照片,像剛才前面有聊到說去美國嘛。
[37:54] 回頭看一下我們去那什麼LA的一個汽車博物館,那時候他還好小哦,然後現在已經這麼大,現在他都想跟我輸贏,比玩力,要吹我之類的。
[38:03] 嗯,對,某個程度上我們在陪著孩子成長,可是我不知道是只有我還是說,其實蠻多這樣都這樣子的一個感受,我們不停的在跟過去的孩子說再見。
[38:13] 我自己講一講,我都覺得我快哭了,就是我已經,我這輩子再也看不到一兩歲的諾亞,三歲的諾亞,我已經看不到,我已經看不到一年時期的諾亞。
[38:22] 雖然他是同一個諾亞沒錯,我知道,但他也不是就是我認識的那個諾亞。
[38:28] 然後有朝一日,不知道,他可能今天18歲了,然後他可能出門,然後他去看看他女朋友之類的,然後跟他high five,現在可能已經沒有辦法牽手親親了,至少high five一下可以吧,抱一下可以吧。
[38:39] 那時候的諾亞也跟現在可能五歲的諾亞是不一樣的諾亞。
[38:44] 懂嗎?就是他是同一個諾亞,但他不是同一個諾亞,這很奇怪,對,反正就是要好好的把握每一個當下。
[38:49] 下面一位,Ocean Lin,孟公謝謝你的幼稚節目,上週陪小孩睡覺都聽你的節目,剛好講到陪小孩,就是那麼幾個夏天他們就長大了,我看旁邊的孩子已經睡著了,突然很有動感,就輕輕他的額頭,覺得睡著的他們真可愛。
[39:03] 預兒真的是在天堂地獄之間不停的傳說。
[39:07] 沒錯,甚至就會覺得人生的關鍵就是在各種酸甜苦辣裡面,然後想辦法去進行著每一天。
[39:15] 如果說沒有一些那種苦的東西,好像甜的東西也沒有這麼甜的。
[39:19] 雖然這樣講好像有點在自衛,但實際上好像真的是這樣,我就覺得說沒有現在的一些回檔,然後後面大賺的時候,你就沒有那種幹,對啦,爽啦,你看我看得對了。
[39:29] 就現在大家回頭看都會覺得說每個人的人生很理所當然嘛,看到什麼超股的,要叫他們多繳一點稅哦什麼,你來試看,你來扛看這個回檔,幹,媽的沒有扛都很簡單,要叫別人偷錢,要叫別人繳稅,要叫別人幹嘛都簡單,你自己來試看看。
[39:44] 所以就是自己要在裡面去作體會,然後對這件事情才會更加的深刻。
[39:50] 當你可以去意識到說,一個事情重點是過程中的體驗,而不是去直接載入一個結果,就說我現在讓你去載入你20年後的生活,你孩子都長大了,你是沒有任何感情的,因為你沒有跟他經歷過任何的一切。
[40:06] 所以你就是要跟他經歷過這一切,你才會有感情啦。
[40:08] 那還是要要自己下去體驗才知道,我完全認同你。
[40:11] 下面一位,投資體重穩漲不跌,在這個大跌的行情下,來看一點溫馨療愈歡樂的動畫,換換心情吧。
[40:19] 那推薦三部最新的作品,一,貓與龍,括號喜歡貓的必看,本季最療愈。
[40:24] 二,畫完這個再去死,括號跟創作和漫畫有關的作品。
[40:29] 三,不願月帶我的繼母與姐姐。
[40:32] 這個我看標題我就有興趣了。
[40:33] 括號反轉惡毒繼母的套路,裡面的角色人都超級好。
[40:37] OK,我以為有那種小本的,他非常感謝你的推薦。
[40:40] 下面一位,Hi,第一次留言,看會不會被念到。
[40:42] 孟公您好,上一集提到你說襪子套屌一直笑,笑一笑週五就發現池倉都套住了,雖然事情已經有減碼降水位,但低滴還是負15%左右,那我我是不是不會做股票的快樂寶貝?
[40:54] 那最後祝孟公全家生意健康,另外可以請你跟7月20號生日的Max說那四個字嗎?
[41:01] 救救我啊。
[41:03] 嗯,這個是我要只想到四個字,然後再來滴滴15%左右,我目前差不多也是這樣子。
[41:09] 對,所以我可能也不會做股票,如果你覺得負15%就不會做股票,我差不多也是不會做股票。
[41:14] 我就是在那個台積電回檔真的是遭受了重擊啊。
[41:17] 那後面再看怎麼樣去做調整嘛,希望我們可以順利的度過這一波的修正。
[41:22] 下面一位,台中有家鍋貼好好吃,嗨,孟公有個疑惑想請教,畢業後第一份工作去做市場風險,被主管罵零找離職。
[41:31] 那離職因為家人身病我選擇全職照顧,括號過程中全職炒股有將本金50翻到360,家人過世之後認為自己在炒股還需要精進基本面的能力,有加入一家機構投顧做研究員,兩個月後同時轉正,我被之前,雖然被之前,但我每日公時15小時以上,那自己無愧這段時間的努力。
[41:52] 想問孟公你我會建議我在職涯方向該怎麼做比較好?
[41:56] 括號個人目標是全職炒股,需要再前期收集各種能力。
[42:01] 括號想貼孟公當年顧問到全職炒股的一個歷程。
[42:05] 首先,我覺得你的方向是對的,就是你去做研究員,那你被fire掉沒關係,你就再去找一家研究員來做啊。
[42:12] 那其實現在蠻多投資公司他們在找的是研究員slash操盤,就是一般他們都會給你錢啊。
[42:18] 這個是還蠻多的啦,所以因為我們身邊來看,蠻多人都靠這樣子起家的,就是可能一開始蠻會做研究,然後公司給他一筆錢,他就有辦法賺,他就可以去拿抽成。
[42:28] 所以這個爬起來算是很快啦。
[42:30] 那這個方向我覺得是完全沒有問題的,那當年我的話是比較偏像是誤打誤撞,然後同時我是在網路上去找一些資源,因為我沒有去外面去靠行,去跟一些交易員,即便其實在過程之中有這樣一個機會,但我我會覺得說,那個不是我要的一個本質啦。
[42:47] 我的本質是希望自己有更大的彈性,因為那時候就是要陪老婆每年要回兩家兩次嘛。
[42:51] 那所以你回兩家兩次,你需要機票錢啊,你需要有一個相對彈性的工作啊。
[42:56] 所以其實我盡可能找的都是一些remote的機會啦,所以包含跟人家交流一次,其實到現在都還是。
[43:02] 然後你發現你會意外的幫一些人打開開關,因為我覺得傳統大家的互動都還是會認為說,就是一定要見面啊,要喝酒啊,要應酬啊什麼,但我我我自己默默的,就是自己身邊有些朋友,以前也很喜歡應酬,現在也都不應酬了嘛。
[43:14] 然後再來就是真的有一群可能跟我一起很要好的一些人,他們根本就是完全我們平常是不會見面的,可是我們在網上超級要好,就大家都在網上討論。
[43:21] 所以你要去找到自己的一個圈子吧,那我覺得你目前的這個做法是沒有問題的,就是你多去跟這些機構,那希望可以找到一些機會。
[43:30] 如果有人要給你帶操的話,其實代表說你本金可以爬更快。
[43:33] 如果當年我這個機會,一定我會接啦,但是像現在人家叫我帶操,我絕對是不接的,因為我根本就不需要這種東西,我也不需要去去可能當任何的員工之類的。
[43:42] 可是如果當年有這個加速器的話,我會去做,所以我覺得往這個方向去找,一定找得到,現在有蠻多投資公司都在找這樣子的人。
[43:49] 那至於要怎麼樣找到這個投資公司,如果你沒有辦法找到的話,那其實這個就代表說能力不足啦,這個一定是有辦法打聽得到,一定有辦法問到,自己去試看看。
[43:56] 那下面一位,漢愛您撐住啊,括號工作生活,希望你撐住。
[44:00] 下面一位,蘇印容,感謝孟公每週固定的分享,這餃子真好吃,請問孟公喜歡吃韭菜水餃還是高麗菜水餃呢?
[44:07] 有吃過雞菜水餃嗎?愛您,吉利幫。
[44:10] 都吃過,我蠻喜歡吃水餃的,一定要加辣。
[44:11] 下面一位,好,下面一位。
[44:12] 蜜蜂的天敵黃老漢,我們要教訓他,保護小蜜蜂,抓了一個,抓了兩個,給他做水牢。
[44:18] 這是你的緬北,來了就回不去的地方,再搖小蜜蜂啊,忽虎宣宣的,啊嗚,被教訓啦,教訓到位啦。
[44:24] 啊,好,又一個瘋掉。
[44:25] 下面一位,位,嗨嗨,MK寶貝,所以台灣人,美國人,韓國人到底會不會做股票?
[44:30] 我現在是一個在倫敦唸書slash實習的碩士打工仔,雖然這一年績效不錯,近期也只是獲利回土,但因為在國外換了一個新的租屋處,要用錢週轉,就會想說有在漲的東西應該還是有點動能,不能夠賣,跌的東西族群沒問題,不想卡在阿呆股,外面的東西現在又更便宜了,想買但沒錢,這樣有解嗎?
[44:40] 還是我太計要又要了,愛您。
[44:41] 不是,這個就是我們多年在節目裡面跟大家分享的,所有的股票仔都會有的陣痛,不管你今天多少錢,真的是不管多少錢,百萬千萬上億的,大家都覺得自己的錢不夠用。
[44:50] 因為你總是有更多想要買的東西,所以這是一個共同的陣痛。
[44:54] 那再來,這時候該怎麼做?
[44:55] 是我的話啦,我一定會去賣掉表現比較不好的東西,然後來做生活。
[44:59] 那再來就是過去我跟大家分享過,有一個解方是使用股票質押。
[45:03] 股票質押被大家都用滿了,所以你應該是沒有辦法,不然其實它本來是一個很好的工具。
[45:07] 你只要不要開到開到槓桿就好,就是說你需要50萬,你有千萬的部位,你不要買東西,你千萬的東西,你壓進去,你也不用壓1千萬,你帶50萬出來,這個風險趨近於零啦,因為基本上你去算一下它的槓桿倍數嘛。
[45:13] 你機率還要出來,你都不會被掃到,所以你用這個去騰出一點周轉金,其實是很好的一個做法。
[45:19] 那只是因為現在不一定帶得到,你可以去問看看。
[45:21] 好,還是要強調,因為我在講槓桿東西,有對白痴就他媽做到極端,然後回來問我說,你不是說可以這樣做,我是跟你講說,你要去稍微的調動,就是你1千萬去調50萬,那一定沒問題啊。
[45:29] 但你1千萬,你再掉600萬出來,600萬再融資進去買,然後你爆掉回來問我說什麼,你不是說可以開槓桿?
[45:33] 那你就是低端啊。
[45:34] 所以再要稍微講一下,很多時候我們要下警語就是因為世界上白痴真的比想像中多很多,然後他們會跑來煩我,我也不想被煩。
[45:40] 雖然理論上我不要理他們就好,但有時候我還是會有一種恨鐵不成鋼,就是你這麼笨,我我不教你,你媽媽也不教你,那以後誰救你?
[45:47] 所以我還是要稍微教你一下,就稍微提點一下,大家自己要注意,那槓桿比例要算好。
[45:50] 下面一位,PJ,五星奉上留言測試。
[45:53] MK能夠聊聊光通訊嗎?應該是未來趨勢沒錯吧,雖然資金目前不在這,但總會迎來資金輪動的爆發吧。
[46:00] 我是不是該提早佈局?最近花了很多時間研究,發現一檔還在低點,看準未來趨勢,我決定in這一檔4901光機光,相記光,相信光,一定可以迎來我人生的光光。
[46:11] 4901。
[46:12] 想記光。
[46:13] 這是啥小啊?
[46:16] 新貴觀光視野,這個又一個陪要瘋掉的。
[46:18] 下面一位,馬,孟公好,我同樣也是苗栗客家鄉親,好奇您會教孩子客家話嗎?
[46:22] 像我就是聽得懂但不太會講的人,謝謝優質的節目陪伴我跟男友的空閒時間。
[46:27] 那想請你祝我男友Justin8月31號生日快樂。
[46:31] 那謝謝他每個禮拜從台南回來苗栗陪我,祝他工作順利,不要太累了。
[46:35] 那另外祝我們都能夠順利的回到台中工作,謝謝孟公祝福大家都能夠健康平安快樂。
[46:41] OK,那希望你們都可以順利回到台中。
[46:43] 那會不會教孩子客家話?我覺得我會稍微教他一點,但是應該不會去走我爸那一種比較hardcore的方式。
[46:47] 我沒有說我爸那個方式不好,就我爸那個方式真的要付出很多心力。
[46:50] 他小時候就是我要跟他要東西的時候,一定會跟我哈發,沒有跟我哈發,他就假裝他聽不懂,他就假裝他不知道在說什麼。
[46:57] 那所以他對於這個母語的傳承真的是不遺餘力,包含說是會訓練我去演講比賽什麼的,這也是非常感謝我爸當年的栽培,但是你說我會不會這樣子去教我孩子,我覺得不會。
[57:07] 但是一些基礎的,或者說當他跟他阿公在一起的時候,那他去講客家話,我甚至會跟著一起講客家話,我會鼓勵他,但他不會是我的教學的agenda,就是我一定要教他會這個東西。
[57:18] 我我覺得還好,就是我對母語的傳承比較,對,沒有那樣的一個熱程。
[57:22] 我知道這個有可能會踩到一些母語狂熱者,反正大家可以去做各自的東西嘛,你知道每個人想教孩子的都不一樣。
[57:29] 後來發現說教孩子本身就是一個很大的,就是去去分門別類的一件事情,像有些人不給孩子吃糖,不給孩子喝氣水,不給孩子用AI,不給孩子看電視,不給孩子看iPad,不給孩子什麼一大堆,一大串。
[57:43] 但每個人都有自己的方式啊,我的大原則是,我會複製我小時候覺得很棒的東西給我的孩子,就是我爸媽讓我的一些美好回憶,我覺得複製給他。
[57:54] 像我爸以前跟講說proud of you,雖然長大一點之後就再也不講了,可是我就是一直讓我兒子知道說,我覺得他很棒,這樣。
[58:01] 那一些你覺得比較辛苦的,比較難熬的,那可能就不要傳給他,你就稍微的修正一下給他。
[58:06] 但盡可能都是以讓他有一個美好的童年作為一個核心啦。
[58:11] 大概這樣,但最近其實有一些新的想法,就是像我孩子最近他比較憂鬱一點,他甚至會講出一些很誇張的話,就說在Seven跟他媽去結賬的時候說,還是我去做小天使,我不要再這個世界。
[58:22] 幹,罵四歲的小孩怎麼會講這種話,因為他在學校可能老師叫他吃肉,他不想吃肉,他就覺得很憂鬱,他回家就一直哭,他真的很討厭吃肉。
[58:29] 那這時候我們當然會有一個想法是說,還是我們去學校跟老師說,就是不要讓他吃肉,讓他吃素就好。
[58:35] 同時也會想說,會不會這只是他不想要去上課的一個理由?
[58:39] 那再來也會想說,如果每件事情我們都順著他的意的話,他已經在一個非常受保護的私校長大了,他如果連這種挫折都扛不下來,那我們一直要順著他,會不會後面我們變成是害了他?
[58:50] 所以其實很多東西我覺得後面想法都會慢慢改變,像最早我也是說,孩子快樂長大就好,可是我現在有一點點的改變是,沒有,他不能夠太快樂,太快樂他真的會變快樂寶貝哦。
[58:59] 就是你一定是該有的紀律,然後該怎麼樣子,因為你發現說孩子很牛啦,他們他們很會鑽,所以你要設定一些跑到給他,這也是要設定一些目標。
[59:09] 所以可能我現在對母語沒有感覺,但說不定後面會覺得說,母語它可能不一定目標是母語,而是讓他有一件事情可以做,然後可能到時候想法會改變,所以這個很難說。
[59:18] 那簡單跟你分享一下,那這次。
[59:20] 拜拜。
