[0分0秒] 歡迎收聽股癌維生夢公,本集節目由NordVPN贊助。
[26分24秒] 所以像自己手上一些心態整個跌壞掉了,開始出現一個大頭部的,就去做減碼,因為我總之就要錢去買新的東西嘛,那新的東西的話,既然我不是去追最強的東西,我就開始去把眼光放到財報記這邊去做一個思考,那當然可能目前市場上一個最明顯的選項就是就我們前面講的,當盤不好的時候大家會想起聖盔谷的美好,大家會衝進台積電,台積電之後有一個事件,就看它的事件有沒有辦法把它往上推。
[26分50秒] 那再來呢,就是接下來的財報季到這個月底的時候呢,其實是有蠻多的IDM會出來講啊,那我們目前是知道說功率元件的狀況其實是好的,只在台股這一波他們其實回檔也都回了蠻大的。
[27分2秒] 那我們就來看一下說可能等到7月底的這些IDM出來講話,有沒有可能去觸發就是可能在過去修正比較多的族群,然後會會彈上去這樣。
[27分12秒] 我會把它視為是一個區間來看啦,那當然現在這個地方就會某個程度上算是一個我假定的區間底,我可能可以允許它在往下一部分之類的,只不過它往下到跟其他那些破季線,然後破大支撐的東西一樣的話,可能也不會再上面去做加碼,所以其實在這個階段呢,我自己的想法會平常是要慢慢的縮起來,是要慢慢的縮起來。
[27分33秒] 那只是過往呢,會縮的比較快一點的原因是因為可以沿路去幹嘛,只是就像我前面講的,這一波台灣的蠻多券商的融資管道都幫你卡起來,所以其實你沒有什麼槓桿要說的,所以其實還蠻老神在在的,只是也沒有辦法像過去這麼秋,因為過去早上跑去打球嘛,像我媽,我禮拜二早上本來也是跟教練10點約功能訓練嘛,我竟然在思考說是不是要跟教練請假,只是後來發現沒有教練是他媽太屌了,他太多學生,所以我覺得不能夠做這種事情,我那個slot我一定要卡卡滿,可是那可能是我過去幾個月來就第一次想留在家裡看盤,因為我覺得他媽一堆美紅幹的,整天在那邊狂歡亂殺標的,韓國人在發瘋你們也跟他一起發瘋到底在衝啥小。
[28分13秒] 那你你為了怕,你也被大家踩死嘛,但最最理想的狀態你就是說,你知道你買的東西是什麼,沒關係你就跟他放,可是我覺得是這樣,就是有些那一種比較偏向是一個循環類股的,或者說現在大家已經是進入到PE階段的,它可能下去之後它不一定會很快的漲的來。
[28分31秒] 我們還是相信說你手上不要買垃圾的話,你相信說它都是還是有機會,但它有可能,就是說它前面的那個估值,後來一段時間它沒有辦法回去,它只能夠等到後面的可能月營收或者說財報出來,然後再把可能現在修正過後的一個估值再推上去,它變成是慢慢爬了,那這個在我們看來就是資金效率的不彰的一種啦,所以就會去把那一些可能現在表現沒有那麼好的慢慢去汰掉。
[28分55秒] 那在過去幾集我有跟大家聊到說,有些在季線下面的,我自己會認為說它談起來碰到季線就軟掉了,那大家現在就可以去驗證,就真的蠻多後來談起來碰到季線就軟掉了,所以即便是在現在你手上的一些什麼主流族群,我還是覺得在這種就是全民大逃殺的一個狀況之下呢,如果說它的形態開始長的不好看的話,其實後面大家會慢慢的去往一些少數族群去再做最後的集中,然後或者是可能有一些過去已經休息很久的,像場務算是休息很久,或者說設備,其實場務我已經有點不理不帶了,我覺得它拉不太上去,它應該是有某種我自己甚至會猜想是搞不好海外的一些H fund什麼的,或是一些family office,主權基金之類的,他們他們持有蠻多,就是在過去我們把它視為是可能殖利率或者說發展不錯的穩定公司,他們應該是有站在賣方一直在丟啦,所以就會把一些東西壓在那邊都不會動。
[29分48秒] 那可是過去可能休息一陣子的不管是什麼載板設備啊,或者什麼光通設備,它已經盤一陣子,就可能就會在跑出來變成新的領頭啦,所以現在看會覺得跟年初比起來的盤面是輪動太快,輪動非常快,那族群切換也切的非常的快。
[30分4秒] 那有些東西呢,已經會選擇要把它放掉了,就是過去我會知道說切新的族群,我就要趕快換過去,但現在我就會擔心說你切新的族群會不會又跟我們前面跟大家分享的,這個盤就是你越追越死啊,你越是動能,你就是越容易被修理,就怕自己會被修理啊,那在這個震盪之中,如果最後面發現說盤面其實是停在差不多的地方,這正負5%而已,然後你的錢負30%之類的,那個就非常嚴重,所以其實我們現在要擔心的是,你不要在震盪裡面把錢都賠光了,所以會重新的去盤點自己手上的標的,一些可能走沒那麼好看的,即便你你你很大的信念,你覺得它不錯,可是你也是報幾個月,就覺得啊OKOK,大家都不要玩是不是,沒關係,大家都不要玩,就就開始去做減碼,那接著會往一些可能我我自己家會開始去看一些業績股啦。
[30分47秒] 我會覺得說可能比較激情的,那一段還是要等到大盤新高以後,雖然大盤距離新高真的沒有很遠,可是不知道為什麼,不管是台股或是美股的這個Nasdaq,都是沒有辦法,就那個新高其實不遠啊,但好像沒有事件可以把它推上去,推上去之後,我覺得我們現在的這些防守性的規劃都不用屌它了,但就是沒有辦法的話,那它就是有機會會走向區間盤,所以就會開始去往一些業績股的方向去做集中,這個可能是後面自己的一些想法跟規劃。
[31分15秒] 但大致上來看,我們目前在市場上沒有注意到一些會對AI的整體需求或者說產業的基本面造成破壞性影響的東西,我還是會比較把它定義為,就是過去的資金賺太爽,然後現在是一個全面大提款的一個狀態,那身邊也蠻多朋友他們就不玩了,就開始去放假。
[31分32秒] 那只像我自己呢,因為孩子下還在下令營啊,所以會等到我8月的時候就放假,8月放假的時候就再把不降到更低的一個水位,那就會慢慢的觀察,大概是這樣子。
[31分41秒] 好那以上就是這次的節目分享,接下來我們就的部分。
[31分43秒] 第一位東瓜騎士,MK,我好想看秋口哦,你晚點可以發現動給我看嗎?感謝哦,愛你。
[31分50秒] 好啊,下面一位巨型龜頭,想演社夢公,我朋友跟女友交往之後第一次做愛,在女友幫小陳口交時,女友竟然自己先高潮了,我朋友覺得很納悶,女友說人家是敏感性牙齒啦。
[32分6秒] 下面一位小貓愛講笑話,哈哈哈哈哈,哈,先見傳的人會先說什麼?會說,哈哈,不好笑三分,我忽然想到一個,那個老奶奶跟西法精有什麼共通點?經常倒在浴室地板,之後他講的不是我講的,觀音在看,我自己講一個好笑的,耶穌討厭上什麼課?美勞課,因為老師會叫他動動手,累的時候要補充什麼?十字架,因為他提神,哈哈哈哈哈,十分,再來叫笑話嘛,以上這都不是我講的,你看疊這樣就瘋了,我講一個,鵝飛過山洞變什麼?過動鵝。
[32分43秒] 我不知道,我覺得他這個資訊量太大,這兩個人,這兩個人是發生什麼事情,然後他前面那都不是我講的,那全部都他自己講的。
[32分50秒] 下面一位,Sean,記得夢公說過不要再經歷2022年那種程度的獲利回土,想請教您可能會準備什麼策略來控制下檔風險以及如何判斷時機。
[33分0秒] 那另外謝謝您優質節目陪我度過市場的每一天,祝您全家都健康快樂。
[33分6秒] 2022年我覺得我是被2020加2021養到有一點膨脹,就是知道說自己看的東西會對,那我只要敢買就會賺錢,就有點類似說像過去的半年,基本上就是買什麼就會賺到什麼的感覺。
[33分19秒] 那所以當下就會認為,因為當時的烏俄戰爭評估之下,其實你最後回頭看烏俄戰爭跟全世界的影響真的就很小嘛,他們現在還在打呢,他們現在整天還在互槓呢,就是沒事啦,就這樣嘛。
[33分32秒] 那只是當下他對市場的影響,老實講是錯估了,就是我是相信說他影響不會太大,所以我一開始還在那邊接接接嘛,然後後來被殺了一兩個Q之後,我那時候就是就去開那個long show策略啊,其實來講就是說會有多空去配置,那我不會做到neutral,我還是多單比較多,那只是我會去配一些空單,因為我已經發現說這個盤面,它那個線已經開始往下走了,那可是我的東西我又捨不得賣它,我就喜歡啊,那我該怎麼辦去對沖我的下檔風險,我就是去弄一些空單進來,就是我知道那種很差的,我就去補一些空單。
[34分4秒] 那這一波的話,目前是沒有想過去使用任何空單啦,因為現在能見之處都還很好,我覺得一般是這樣子,你一定要先受到相當程度的一個回檔,可能先回個120%了,然後接著你才會去調你的策略。
[34分18秒] 就看你可能前面賺多少錢啊,以今年來講,因為前面真的是蠻不錯的,所以像現在根本就還沒有回到1520%啦,如果說真的有回到的話,我可能就會開始去想說策略我要去改變,那不然現階段的話,像我過去幾個交易日我在幹嘛,我還在抄底啊,他媽我還在買啊,幹過去我我我買太早,怎麼講,那都是事後論,就是你現在回頭看就說,媽的後面再多跌這麼多錢,早知道我就最後一天再買。
[34分40秒] 那只是我們人沒有水晶球啦,那對我來說就是有些東西殺的特別重,我部位又還沒有買到上線,我沒有買到滿的,我就喜歡的,我就開始去加碼嘛,那只是像今天反彈之後,有有蠻多都還沒有彈到我加碼的位置,應該說大多數其實都還沒有彈到我加碼的位置,但就這樣子吧,先會用買啦,那只是說後面假設彈起來,彈不上去,再破底的話,那首先加碼單的部分一定去把它砍掉,我沒有辦法去設定說就只砍這個加碼單,會說就說我本來是有500張好了,然後我這陣子加了,變750張,那結果它之後又再給我破底的話,這250張我就先砍掉,我先回到本來的500張,我我先認賠一部分啦,那接著如果再繼續出狀況的話,我覺得慢慢的去把它減掉。
[35分21秒] 那我覺得會提早去做一些這種部位的調整,就是會把下檔稍微的控緊一點,當你注意到盤面開始不好的時候,現在沒什麼槓可以說嘛,那我就去縮部位,我可能就把扣的現金的水位拉起來,現在還是沒有扣什麼現金,只是如果這一波反彈是上不去,那接著大盤甚至是從季線往下灌的話,我就會開始提早去扣現金,那這個操作其實已經比2022年那時候快很多,就是比較早去做預警啦,所以會會想要這樣子去做規劃。
[35分51秒] 那這個實際的部分其實不要去太迷信,因為當你去做這樣子規劃,我隨便舉例,如果這一次它就真的只洗的比較深一點,然後之後前面開走,那你不會也沒有及時的補回來或追回來的的話,等於你就是帶著20%的cash track,那這個是我自己非常不喜歡的,所以你你每個決定它都會有一些代價,那你知道代價是什麼就好,那我我知道我想要最極力避免的是,我已經不想再去忍受太大的回土,即便這代表的犧牲掉我一些上檔,但是我OK,就是我現在的狀態我會覺得,我要往這個方向去努力,以前我也覺得我要往最大獲利去做思考,然後現在我是會變成我會希望去規避掉一些風險,那單不是全面的規避風險,就稍微的去規避一點點。
[36分33秒] 那下面一位,夢公你好,我是去年加入的快樂寶貝,當時聽到老公分享林口,想說當個氣氛仔前往,卻沒想到意外遇到老公,當時雖然沒有講什麼話,但能夠跟老公還有Noah合照以及跟您停在同一排的機車格上,也算是解鎖了人生不少成就啊,兄弟你的成就也他媽太簡單了吧,你可以設一個難一點的成就嗎?然後他說很謝謝當時的合照,我自金放在證件戶的大頭貼上,讓我如神力一般。
[37分4秒] 不是啊,證件戶怎麼可以放我的大頭貼啊,這是這是假冒吧,他說7月18號是我的生日,希望你可以用哈卡跟我說那四個字,你還沒給亂。
[37分13秒] 那最後祝福老公,Liz,Noah,全家身體健康平安,大寶這幹你,我非常感謝這位兄弟。
[37分21秒] 停在機車格合照,好像有一點印象,那希望你後面平安順利。
[37分26秒] 下面一位,Ken10209,夢公,麻煩您用跟秋口講話的聲音,祝我家六月生日的可愛小狗子生日快樂,那另外也祝我們七月結婚周年快樂,目前在備孕的老婆辛苦了,有你們的生活每天都很快樂幸福,並祝福夢公一家健康快樂。
[37分46秒] 希望你們可以順利的懷上baby,也希望後面一切順利。
[37分50秒] 下面一位,Eric,夢公你好,不知道會不會想聽我老二的故事,算了,太長了,我不想講。
[37分56秒] 看就是這樣,每次盤面開始震盪,開始修正,各路媽怪小全部都跑出來。
[38分3秒] 下面一位,請問我是好寶寶嗎?公哥安安,這集可以用巨魔當標題嗎?小弟老婆和家裡,在家裡跟孩子投入了非常多的心力,但總會擔心他是不是把太多重心都放在家庭跟孩子身上,常常鼓勵他如果他想做的事就放手去做,家裡交給我就好,希望他先是他自己再才是兒子的媽媽,我的老婆,但他說他就是喜歡把重心放在這裡,想請教公哥這樣的狀態需要擔心嗎?這個是來賽的是不是?這是一個非常幸福的狀態,就是老婆是家裡為重,那老公同時也是非常幫忙家裡,就是一個那種相敬如賓的狀態啊,這個就是講出來給大家羨慕的啊。
[38分43秒] 那如果說今天太太是剛生完孩子的話,這可能是一個蠻正常的現象,像自己跟昨天才一個朋友在吃麻辣鍋的時候有提到,他的老婆會不想要,就是自己的一些家人親戚可能甚至只是開個玩笑,啊好可愛哦,我把它帶回去哪養,幹他媽超不爽的。
[39分1秒] 那我老婆其實那時候也是這樣子,所以他們會有一個階段是母愛炸射,他只想要去顧孩子,然後跟家,家也不是你的家,兄弟,不是你的家,是這個孩子家,他們那個母愛炸射就會有這樣子的一個現象產生。
[39分17秒] 一般來講可能就是到一兩歲就會稍微收斂了,如果之後還是這樣子的話,我不知道就撿到飽吧,我覺得,因為其實在家裡照顧孩子是超級累的事情。
[39分26秒] 他媽的,你你跟我交換我是不要的啦,像我老婆如果今天跟我講說,他去搞股票,他去搞什麼有的沒的投資,他去做事情,然後我在家裡帶小孩,我一定跟他做不要,因為這是一個很困難的東西啦,所以我也不是說什麼讓我老婆一定要在家裡,他願意帶的話是很好,那我們現在是有找外援啊,就像現在是有保姆,可是之前有一陣子我老婆也是完全不接受任何的什麼保姆或是協助,他都不要,甚至在諾亞,就是我們第一胎的時候,他連托音中心都不想送,那時候是因為他生病,然後我偷送,那不然,我真的覺得快把PQ了,因為我自己已經覺得我快撐不下去,我老婆還要餵奶,還要再做一堆東西,他覺得他可以,可是連我都不行了,因為連我都覺得我累到我沒有辦法去做我自己的工作。
[40分7秒] 所以那個有時候可能要稍微再溝通一下啦,就說不定你也是很客氣的希望老婆可以多花一點時間在外面,甚至是多花一點時間在你身上之類的,但他們有時候那個腦子,如果說剛好是產後的一些荷爾蒙的影響的話,他他不一定聽得進去。
[40分21秒] 那不需要擔心啦,如果說之後一陣子,一兩年後還是這樣子的話,可以溝通看看啦,但我也不知道你到底你的目的是什麼,你只希望他,就就不要再在家裡,所以你可以在家裡挖子套屌,是這樣,我我不太曉得啦,但理論上都可以溝通看,但你要知道,就是可能剛生完那一段時間,他們會非常的護子,這個是很正常的。
[40分39秒] 下面一位,阿哲,夢公大你好,密碼測試,最近我也打了瘦瘦針,跟你的情況很像,血壓都在邊緣了,希望可以順利的瘦下來,而且降低血壓,最後祝您生活愉快,愛你。
[40分50秒] 兄弟我還是建議就是可能要搭配運動啊,因為後來跟幾個朋友交叉比對之後,我相信血壓的部分應該不是因為瘦瘦針,瘦瘦針可能最多就是像醫師那時候跟我講的,你這樣10公斤可能就10毫米拱住是這樣,那只是我後來就是在靠了,像網球啊,功能訓練或什麼的,所以這個應該是影響最顯著的部分啦,就是整個身體的狀況都改善,那我覺得你可以把它視為說,你真打都打了,你他媽挨針,你可能還會有一些不舒服的副作用,來都來了,那你就一步做二不休,順便把一些運動都摳起來,一次把它弄到位,希望你可以順利。
[41分22秒] 下面一位唱詩班,不唱詩在聊股票。
[41分26秒] 這是怎麼念過?念一下,諸位晚安,感謝錄製優質節目,讓股市小白我認清現實,不再盲目下單,指說謝謝。
[41分33秒] 請用猛男的聲音跟隨我唱詩班的老友們說,全力做多台股,大不了一起去工地搬磚頭,那另外祝天母美妹生日快樂,PS,你不是只有阿尼斯還有牡丹,哦對啦,這個就是那個上一集什麼?講人家是牡丹,哦所以他的牡丹是尼的牡丹哦,那這個女生很罕見,他竟然有在打尼,還知道牡丹這個角色,牡丹這個角色真的是有那個反差蒙,我也蠻喜歡的。
[42分1秒] 好啦,那那那祝這個天母美妹生日快樂。
[42分3秒] 下面一位,Jack,MK可以分享研究的經驗嗎?我發現每次自己研究一個領域都會變成一根錘子,覺得世界上所有的東西都是釘子,怎麼不暈傳自己的研究保持客觀的想法呢?平常都是誰幫你踩剎車的呢?天氣最近好熱,我們家喜歡去市場買仙草,冰起來後切碎加蜂蜜再加一點牛奶,非常好吃又消暑,有機會的話推薦MK一定要試試看,祝您全家平安健康。
[42分28秒] 那這位兄弟講的研究到暈船其實是一個非常常見的現象啦,就是至今我都還是會看到身邊有些朋友再跟我推標的的時候,你就會知道說他一定把它擴大延伸解釋到很多,媽全世界都要用這家廠商的產品,那個誰也要學他的東西。
[42分44秒] 反正大家在做研究或者再去做推廣的時候都會變成是這樣的一個情形啦,那你要怎麼樣去維持一個客觀的想法,簡單來講就是跟人生中的所有事情一樣,你被態度矯正之後呢,你就會比較正經一點啦。
[42分57秒] 你如果今天這個標的,你買了,你那邊摳,其實我們過去也看過很多這樣子案例,就是人家推的東西,沒有你,那雖然是自己的朋友,但你就知道他是瞎推,然後你又認識一些產業的朋友,那可能他也有被推到,然後大家在那邊討論,就說你有聽到那個誰推什麼嗎?有,然後大家就想說,那個一定是就是fucking好小啊,可是每天都在漲呢,漲到後來我們都還是扶他,就是反正你有辦法把標的哄上去,那就算是厲害,那他也會覺得真的都是他對,就是即便他的東西可能漏洞百出什麼的,但是股價就真的在漲嘛,在漲的時候誰會說他錯啊,你出來跟大家講說,他錯,大家也覺得你是笨蛋而已,因為股價就是他媽硬道理嘛。
[43分34秒] 那所以一般就是你可能今天去研究的半天,你買了,然後立刻被態度矯正,東西立刻崩下來,或者說怎麼樣都不會移動的話,那你就開始去思考說,是不是我研究錯了,是不是我想的太美好了。
[43分49秒] 所以這個可能跟,我不知道為什麼突然間被點通了,這個兄弟的問題突然點通一件事情,就就其實,包括說像我們在市場裡面去做交易,要不是有這些踩剎車的時刻,像過去的兩個禮拜,你真的會變成一個無限膨脹的人,你真的會覺得自己是無敵的,真的是這樣,然後搞不好在家裡開始講話就大聲,女人水果端過來。
[44分10秒] 沒有啦,這個示意圖,我自己我不會這樣,但我一直說,你你如果這個盤讓我漲兩年,說不定我我講話就往那個方向去靠攏,說幹,賺錢我最屌,那就是因為會會有一些盤整,會有一些修正,會有一些事與願為,或甚至是因為時間的錯配,你是對的,但它等半年一年後才漲,你就會慢慢變成一個謙遜的人,你再做假設的時候你就不會去設定的太嚴苛。
[44分33秒] 那我講的是比較偏向說,因為我們是在家自營嘛,所以我們唯一的對答案的對象就是市場,就是你到底有沒有賺到錢,可是如果你今天是去外面工作就不一樣,像之前朋友就有分享,他那時候在白賽,然後他買一堆美光,被他老闆當狗那邊罵。
[44分48秒] 那後面美光發生什麼事情,大家都知道,可是因為他買太早,所以他那個部位其實是被公司給砍掉的,那後來當然我我問他說,公司有沒有跟你道歉說你砍隊,他說沒有啊,公司後面有追回來,可是公司也不會跟他說一聲謝謝,因為在公司的角度就是當下你其實有很多事可以做,你沒有必要在那邊等一年,你可以後面可能突破之後,你你貴2、30%追回來,也是划算的,為什麼?因為媽的你你過去這一年你可以賺超過2、30%,所以如果你今天是在外面上班的話,會有很方式幫你修正回來。
[45分17秒] 據說你身為一個研究員,你研究的時候你推的東西都不會動,或者說都沒有造成任何的買盤,或者甚至是record是很差的話,你就會立刻就被公司給交易了,所以一般來講,對看你在哪一個環節,那只是像我們這種在家對自己負責的,市場的走勢就會給你上課了,那如果你是錯的研究,可是一直漲,你真的也會誤以為你是對的,所以我會覺得其實一開始遇到一些挫折,可能對一個人的性格發展來說是好的,就他不要說什麼長到某個位置,已經夠大了,然後才放一些致命的錯,那可是因為它已經形成一種自尊了嘛,他知道他過去都是對的,那這就會導致一些萬劫不復的現象產生了。
[45分55秒] 那所以我寧願你是一個可能就是對自己沒有太有自信,你會去做很多的確認,你會整天旁徵博引,那你會想要不停的反複去做驗證的,這可能是一個比較好的事情。
[46分8秒] 我只能夠說就是去研究完,然後會覺得就是說所有東西都應該是你想像的那個美好樣子,這個是很正常的,直到盤面告訴你另外一回事,而且盤面有時候會是錯的。
[46分19秒] 下面一位,Enzo Chen,夢公午安,不知道您暑假安排帶孩子去哪裡度假,推薦幾個距離不遠又舒服的好地方給您,一,北海道,大自然環境好,公園好玩,適合小孩又不熱,東西又好吃,頂級溫泉旅館安靜舒服,EX,賀雅比之左。
[46分37秒] 這位兄弟是是未來人是不是?因為我我最近就剛好就訂了北海道,當然那都不是我訂的,我就請A君,就請A君去稍微的規劃一下,然後他一樣有先規劃一個,他跟我講說應該是很好的,因為我剛講說就你不要訂太鳥的,我不要跟一堆人他媽擠在一起,那所以就先訂一個,好像要先稍微跑到離市區遠一點的地方,就離扎晃比較遠的,應該可能就是你講類似這樣,它是一個喜溫泉,然後舒服的地方,然後接著再去市區裡面,我看A君規劃的超級好,就是大概孩子又什麼這邊可以看看,那邊有什麼東西可以看看,好久沒有這種東西哦,因為我後來跟我老婆旅遊都是我們會選那種最廢的地方,那沒有任何的行程,就是隨意走走,那甚至會故意在同一個點就停好幾天這樣,那第一次又有人幫我們把這個行程規劃好,還有訂好包車,我我覺得非常的期待啦,到時候再跟大家分享一些心得。
[47分27秒] 然後第二個他推澳門巴黎人,請直上預扁風,收費的細水區,應該連安哥都可以下去玩滑水道。
[47分38秒] 這個一定要screenshot一下,然後第三個台中古關紅戲諾亞,進去一秒到日本,夏天的細水池是山泉水,透心涼很棒,以上都是小弟帶孩子去過覺得適合孩子的地方,暑假一起加油,愛你,那非常感謝Enzo。
[47分51秒] 那三,我一直想去試看看,這應該也會去一下,我是去北海道,那外加巴黎島啦,就是去這個最熟悉的地方,因為巴黎島是,我很喜歡超級廢,可以完全關在一個這個封閉的園區裡面,裡面有很多個餐廳,然後可以吃來吃去,我們已經在各式各樣的VR跟 Resort之間換來換去,這次呢,就是換回去跟老婆相遇的,也不能說相遇啦,就求婚的這個阿亞娜,那那希望會會有不一樣的感受,雖然其實我在想現在回去阿亞娜應該沒那麼喜歡了,因為那時候是因為年輕,那對我們來講就是蠻多東西還是很新鮮什麼,後來我發現特別是我跟我老婆,我們兩個很像老人,其實我們很討厭擁擠的地方,所以後來都會去找一些基本上是沒有人的地方,所以上次才跑去那個寶格麗的,寶格麗就幹你真的那個泳池,我大概從來沒有看過超過三個家庭在它那個大泳池,超扯,就是都沒有人,但是我們非常喜歡。
[48分47秒] 那這次是因為岳母,岳母是非常喜歡熱鬧的人,所以好啦,就去訂一個,應該有可能是最熱鬧的resort,然後看會發生什麼事情,大概這樣。
[48分55秒] 那也希望你暑假快樂,那再念一個,諸位龜頭比頭大。
[49分0秒] 我覺得我壞掉了,之前的華星科吃太飽,每天睜開眼睛就是漲停,不到半年就達成破百%的報酬率,那之後開始震盪,某天大跌時很心砍掉,結果拉尾盤,以為砍在阿呆股,結果之後股價越來越低,現在沒有一個禮拜20%的報酬率都覺得超沒有效率,我的價值觀是不是壞了?那然後雖然賣掉了,但還是很好奇MLCC到底怎麼了,尤其日本那幾間幹到底是怎樣啊,有這樣爬上去又重摔腰斬的,那最後想問CCL和風測,諸位未來比較看好哪一個部分,感謝回復。
[49分31秒] 雖然在這個節骨眼,再去講被動元件的基本面,大概可能也沒有多少人再意,但其實我們目前看是No change,而且它的那個lead time還是越來越長,然後有一些暫停交貨的情形產生,但是有沒有辦法去justify現在的股價,我們就不去做評論,因為被動元件我們很久有跟大家講,我們下不會再去評論了,因為那真的射太遠,那射太遠,對,你看就是會有一些這種巨大的回檔產生啦。
[49分54秒] 那目前我們看都是狀況是差不多的,其實產業的變化真的沒有像股票的變化,這樣整天什麼,今天漲停,明天跌停,然後大家都覺得是不是發生什麼事,其實都沒事都是一樣,只可能前面就炒太高,有可能這樣,修正一下之後說不定繼續走,像記憶體也是這樣子。
[50分8秒] 那一樣我不知道暗字說這個,被動元件會繼續走,不討論被動元件,因為它已經是真噴太遠的東西了,但就產業面來看,目前是沒有什麼太大的變化。
[50分17秒] 然後再來講說CCL跟風測比較看哪一個部分,其實兩個都很好看,就兩個都是覺得在後面的狀態應該說很好看,CCL的話跟載板不用講,它就是市場上最缺的東西,整天發展線,已經漲到基本上我現在看到漲價線是頓化的一個情形,我根本就已經懶得去看這個漲價線是哪一封,反正你就知道說就是一直漲,這個載板跟CCL其實目前的情形都是這樣子,然後再風測的話,要看是哪一個環節的風測。
[50分43秒] 目前整體來看,因為像昨天6770就那個立即電,他們有有有開一場會嘛,那它裡面算是幫蠻多人開的法會,它把整個很多產業的東西都講出來了,那就是有提到說像是這個功率的封裝,他們目前也是處在一個這個非常緊繃的狀態啦,他們有去生產這個功率,然後就說其實已經蠻久啦,那客人都一直在叫他再加或什麼的。
[51分6秒] 所以我們目前所看的到的,不管你是偏向像AIvidia這邊的KPC,那個狀況也都很好嘛。
[51分14秒] 那再來可能到功率元件這裡,或者說IC的後段風測,目前看到都是一個公不應求的狀態啦,就是整體的表現,當然它裡面你要去細部去拆分,可能消費性的沒有這麼好什麼的,但整體來看,它的價應該都拉得很不錯,然後後面應該也是會持續的去做漲價。
[51分34秒] 再來像最近那個精彩,它也是嘛,它也是後段風測,它是SM的那個OS的外包啦,那只是這個故事其實蠻久的,但最近也是瘋狂的在表態,所以其實我們也是有注意到說對,就是風測非常的強勢。
[51分46秒] 那這兩個去比,我覺得都很好啦,它可能風測算是一個相對新,可能籌碼沒有這麼重的東西,那CCL的話,也不能說它籌碼重,但至少它就已經很久了,這已經講到爛掉,就講好幾年,就我們節目甚至也就提過好幾年,我不知道說,我一直說就是理論上是人進揭制啦,那只是說,因為真的很好,所以就一直在往上推,跟一些那種探真卡想說,殺小怎麼可以推到這裡,後來都變是法人的戰場,法人自己推推到上千上萬這樣,所以對對,有點類似這樣子一個情形,但它比較不是一個新鮮事,所以我們已經不會在節目再去刻意的跟你聊像載版CC,因為那沒什麼好聊,就大家都知道它很好,只是沒有想到說,哇靠,可以好這麼久,就像沒有必要整天跟你聊台積電一樣,差不多這樣子的一個意思啦。
[52分28秒] 所以我們會去找一些那種中小的是族群去討論的原因是因為那個可能是一個新的東西,因為舊的東西一直去的話,那節目也不用錄了嘛,那每天都講一樣的東西就好了,所以我們就會一直去找尋新的東西啦,那只是對,有些東西可能它是那種長期的故事,像我自己的那種投資公司我也會放一點東西在裡面,就放著不屌它了。
[52分46秒] 大概是這樣的一個情形,所以目前來看的話,對都還蠻看好的,那只是風測可能算比較相對輕一點,那可能是在表態剛開始,那CCL,或者載板,那都早都已經多頭報走多久了。
[52分58秒] 那再來講說是不是價值觀跑掉,我今天才剛跟那個法師啊,那個天鑽法師就聊這件事情,我說,我不知道為什麼這兩個禮拜我開始覺得我不會做股票,因為過去真的是那種族群切換,你買進去很有效率啊,隨便點一點,就直接就衝漲停啊,那或者說你隨便去找東西,跟著去推漲停,然後記得隔天就就開高都是很穩的啦,那只是對,就過去一陣子是失效了,那當然我們不會去很悲觀說所以未來就會失效,就可能是現在是這樣子,但是我也有發現說我超白痴的,才稍微的,你知道橫盤,那個禁止橫一下,我就跟人家那邊抱怨講說,我可能我自己已經不太會做股票,可是其實今年真的是非常好啦,你回頭看都知道說今年是很好,所以其實大家現在比較專注是守成啦,不要在這種震盪的時間讓自己錢可能吐去太多,各種試錯的成本拉太高,那就不太好,然後希望不知道,就就來都來了,希望今年就一路好好到底,好不好,幫大家都刷那種歷史新高不是超爽的嗎?
[53分51秒] 好那也是希望後面可以順利啦,拜拜。
